"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"Aroldis Chapman","Reds","41.0","0.66","151","14","3","3","2","12","0","2","79",".102",".187",".162",".169","10233"
"Francisco Rodriguez","Brewers","13.1","0.68","47","4","1","1","1","4","1","0","14",".093",".174",".167",".152","1642"
"Craig Kimbrel","Braves","35.2","0.76","132","17","3","3","2","8","0","1","50",".138",".197",".203",".186","6655"
"David Hale","Braves","11.0","0.82","46","11","1","1","0","1","0","0","14",".244",".261",".311",".252","9756"
"Mark Melancon","Pirates","38.2","0.93","147","28","7","4","1","1","0","0","38",".192",".197",".219",".185","4264"
"Fernando Abad","Nationals","19.0","0.95","75","11","2","2","1","6","0","1","15",".162",".240",".235",".221","4994"
"Jonathan Broxton","Reds","18.1","0.98","73","12","5","2","1","6","1","0","17",".179",".250",".258",".227","4759"
"Cesar Jimenez","Phillies","9.0","1.00","36","5","1","1","1","3","0","1","6",".156",".250",".323",".256","3762"
"Jose Fernandez","Marlins","98.0","1.19","375","56","15","13","4","28","2","1","108",".162",".228",".225",".207","11530"
"Freddy Garcia","Braves","14.0","1.29","53","10","2","2","1","2","0","0","11",".196",".235",".286",".232","1077"
"Ryan Reid","Pirates","7.0","1.29","31","6","1","1","0","3","1","1","5",".222",".333",".360",".294","9385"
"Kenley Jansen","Dodgers","41.0","1.32","152","25","6","6","1","9","1","1","61",".176",".230",".225",".206","3096"
"Pedro Feliciano","Mets","6.1","1.42","22","1","1","1","0","2","1","1","5",".053",".182",".111",".128","1601"
"David Carpenter","Braves","31.0","1.45","119","16","5","5","2","13","3","1","38",".152",".254",".255",".224","3959"
"Francisco Liriano","Pirates","73.2","1.47","286","45","12","12","2","26","0","0","72",".173",".249",".225",".221","3201"
"Brad Hand","Marlins","12.0","1.50","46","7","2","2","0","4","0","0","9",".167",".239",".190",".203","9111"
"Sam Dyson","Marlins","6.0","1.50","23","4","1","1","0","0","0","1","4",".182",".227",".250",".212","11710"
"Edward Mujica","Cardinals","36.0","1.50","129","23","6","6","4","1","0","0","25",".180",".189",".320",".220","3970"
"J.P. Howell","Dodgers","29.1","1.53","119","23","5","5","1","12","2","1","28",".217",".303",".288",".263","8245"
"Clayton Kershaw","Dodgers","122.2","1.54","472","90","28","21","6","22","1","0","128",".200",".239",".286",".233","2036"
"Paco Rodriguez","Dodgers","28.2","1.57","102","13","6","5","1","7","1","1","32",".138",".210",".174",".178","13398"
"Luis Avilan","Braves","34.0","1.59","129","22","6","6","0","7","1","1","21",".182",".233",".192",".194","2882"
"Cory Gearrin","Braves","11.1","1.59","50","10","2","2","0","8","0","2","7",".250",".400",".275",".325","7947"
"Jason Grilli","Pirates","28.0","1.61","106","15","5","5","2","8","0","0","44",".153",".217",".245",".211","521"
"Blake Parker","Cubs","27.0","1.67","115","20","7","5","0","10","0","2","32",".194",".278",".252",".247","5224"
"Chad Gaudin","Giants","48.0","1.69","192","33","10","9","0","22","2","0","46",".194",".286",".263",".249","1783"
"Zeke Spruill","Diamondbacks","5.1","1.69","27","8","5","1","0","4","0","0","3",".348",".462",".409",".394","3873"
"Jenrry Mejia","Mets","5.1","1.69","22","5","2","1","1","2","0","0","7",".250",".318",".474",".337","8476"
"Stephen Strasburg","Nationals","99.0","1.73","379","68","25","19","6","18","0","6","108",".192",".244",".266",".232","10131"
"Shelby Miller","Cardinals","92.2","1.75","364","67","21","18","8","23","0","2","90",".198",".254",".310",".253","10197"
"Justin Wilson","Pirates","40.0","1.80","164","32","8","8","0","17","1","0","28",".218",".301",".253",".255","4301"
"Vin Mazzaro","Pirates","39.1","1.83","157","33","8","8","0","8","0","2","22",".224",".277",".264",".246","5231"
"Mike Dunn","Marlins","33.2","1.87","138","25","8","7","1","13","0","0","34",".200",".275",".280",".254","9948"
"Santiago Casilla","Giants","24.0","1.88","95","20","6","5","1","8","2","0","16",".230",".295",".302",".261","2873"
"Matt Harvey","Mets","100.0","1.89","383","73","21","21","5","15","1","2","109",".199",".236",".278",".228","11713"
