Braves	 Evan Gattis	La Grange	ZZ Top	Rock	https://itunes.apple.com/us/album/la-grange/id655199225?i=655199761&uo=4&at=10l3Hj&ct=mobile_music
Braves	Gerald Laird	Sail	AWOLNATION	Alternative	https://itunes.apple.com/us/album/sail/id422478077?i=422478211&uo=4&at=10l3Hj&ct=mobile_music
Braves	Jason Heyward	N***** in Paris	Jay Z	Hip-Hop/Rap	https://itunes.apple.com/us/album/ni**as-in-paris/id455406696?i=455406800&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Elliot Johnson	Killing in the Name Of	Rage Against The Machine		
Braves	 Reed Johnson	Country Music Jesus	Eric Church	Country	https://itunes.apple.com/us/album/country-music-jesus/id448105764?i=448105866&uo=4&at=10l3Hj&ct=mobile_music
Braves	Jordan Schafer	Cinema	Benny Benassi ft. Gary Go	Dance	https://itunes.apple.com/us/album/cinema-skrillex-remix/id425436463?i=425436488&uo=4&at=10l3Hj&ct=mobile_music
Braves	Jordan Walden	Wild For the Night	A$AP Rocky ft. Skrillex	Karaoke	https://itunes.apple.com/us/album/wild-for-night-karaoke-version/id600007464?i=600007533&uo=4&at=10l3Hj&ct=mobile_music
Braves	Justin Upton	In the A	Big Boi ft. TI and Ludacris	Hip-Hop/Rap	https://itunes.apple.com/us/album/in-the-a-feat.-t.i.-ludacris/id580955319?i=580955382&uo=4&at=10l3Hj&ct=mobile_music
Braves	Kameron Loe	Of Wolf and Man	Metallica	Rock	https://itunes.apple.com/us/album/of-wolf-and-man/id579372950?i=579373087&uo=4&at=10l3Hj&ct=mobile_music
Braves	Kris Medlen	Icky Thump	White Stripes	Alternative	https://itunes.apple.com/us/album/icky-thump/id257400696?i=257400702&uo=4&at=10l3Hj&ct=mobile_music
Braves	Luis Ayala	Jefe De Jefes	Los Tigres del Norte	Regional Mexicano	https://itunes.apple.com/us/album/jefe-de-jefes/id573627369?i=573627887&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Paul Maholm	Lay Me Down	Chris Tomlin	Christian & Gospel	https://itunes.apple.com/us/album/lay-me-down/id573260186?i=573260998&uo=4&at=10l3Hj&ct=mobile_music
Braves	Mike Minor	Flex	Party Boyz	Hip-Hop/Rap	https://itunes.apple.com/us/album/flex/id345820628?i=345821194&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Mike Minor	Sound of Madness	Shinedown	Rock	https://itunes.apple.com/us/album/second-chance/id279812098?i=279812102&uo=4&at=10l3Hj&ct=mobile_music
Braves	Scott Downs	Eight Second Ride	Jake Owens	Country	https://itunes.apple.com/us/album/eight-second-ride/id209979528?i=209980022&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Andrelton Simmons	All Gold Everything	Trinidad James	Hip-Hop/Rap	https://itunes.apple.com/us/album/all-gold-everything/id589282650?i=589282654&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Julio Teheran	Es Un Secreto Remix	Plan B feat. Tego Calderon	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/es-un-secreto/id381641788?i=381641806&uo=4&at=10l3Hj&ct=mobile_music
